Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Alchemy
(Alvin Desmond; clone of Albert Desmond)",Flash 302,The Flash #287,Jul-1980,Y,Cary Bates,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Don Heck,"pencils, cover pencils",Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Chiaramonte,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Cyber
(Silver Age)",Arrow 508,Wonder Woman #179,Nov-1968,N,Denny O'Neil,writer,Creator Recognition,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,"inks, cover inks",None,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Cyber
(Cylvia Anita Cyber)",Arrow 508,"JLA #61
""The Power Principle""",Feb-2002,N,Kurt Busiek,writer,Writer; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Grummett,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wade Von Grawbadger,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Doug Mahnke,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Nguyen,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alex Sinclair,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Destiny
(John Dee)",Dark Universe,Justice League of America #5,Jun-1961,N,Gardner F. Fox,writer,Creator Recognition,2009,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Double X
(Doctor XX; Simon Ecks)",Lego Batman,"Detective Comics #261
""The Amazing Dr. Double X""",Nov-1958,Y,Dave Wood,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sheldon Moldoff,pencils,None,,"Deceased
Per the library and Wayne Smith (Corp. Legal), please check to see if Bob Kane should also be included in credits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Paris,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Fate
(Kent Nelson; for Hector Hall, see Sandman)",,"More Fun Comics #55
""The Menace of Wotan""",May-1940,N,Gardner F. Fox,writer,Creator Recognition,2009,Deceased Creator recognition agreement with is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Howard Sherman,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Baily,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Jonathan Tyme,,Doom Patrol #92,Dec-64,Y,Arnold Drake,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruno Premiani,"pencils, inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Brown,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Light
(Arthur Light)","Flash 205
(11/3/2015)",Justice League of America #12,Jun-1962,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Light
(Kimiyo Hoshi)",,Crisis on Infinite Earths #4,Jul-1985,N,Marv Wolfman,writer,Writer/Editor,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"pencils, cover",Exclusive,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike DeCarlo,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Mid-Nite
(Dr. Charles McNider)",Legends 201,"All-American Comics #25
""Dr. Mid-Nite, How He Began""",Apr-1941,N,Charles Reizenstein,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stanley Josephs Aschmeier,"pencils, inks",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Howard Purcell,cover,Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Midnight
(Dr. Elizabeth Chapel)",,"as Beth Chapel:
Infinity Inc. #19",Oct-1985,N,Roy Thomas,co-writer,Writer,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Todd McFarlane,"pencils, cover pencils",Artist,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony DeZuniga,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Montano,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"as Doctor Midnight:
Infinity Inc. #21",Dec-1985,Y,Roy Thomas,co-writer,Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Todd McFarlane,"pencils, cover pencils",Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony DeZuniga,"inks, cover inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Montano,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Mid-Nite
(Dr. Pieter Anton Cross)",,Doctor Mid-Nite #1,1999,Y,Matt Wagner,writer,Prestige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John K. Snyder,"pencils, inks, cover",Prestige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Mind,"Point Blank
Sleeper",Sleeper #2,Apr-2003,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony Avina,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Randy Mayor,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Mist
(Nommo of Kor)","Powerless
(Global Guardians)",Super Friends #12,Jun-1978,N,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ramona Fradon,"pencils, cover pencils",Exclusive; Creator Recognition,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Robert R. Smith,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Moon,Young Justice,"Batman #240
""Vengeance for a Dead Man!""",Mar-1972,N,Denny O'Neil,writer,Creator Recognition,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Irv Novick,pencils,N/A,,"Novick was an employee of DC from 5/9/1967-12/28/1984.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,"inks, cover inks",None,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neal Adams,cover pencils,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Phosphorus
(Alexander Sartorius)",Lego Batman,"Detective Comics #469
""…By Death's Eerie Light""",May-1977,Y,Steve Englehart,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Walter Simonson,pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Milgrom,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Aparo, cover,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jerry Serpe,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Poison
(Princess Maru)","Wonder Woman
(2017)","Sensation Comics #2
""Dr. Poison""",Feb-1942,Y,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harry G. Peter,"pencils, inks, cover",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Psycho
(Edgar Cizko)",,Wonder Woman #5,Jul-1943,Y,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harry G. Peter,"pencils, inks, cover",Artist,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Sivana,Shazam,"in Fawcett Comics:
Whiz Comics #2
""Introducing Captain Marvel""",Feb-1940,N,Bill Parker,writer,None,,See also: Fawcett Purchase Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"in DC Comics:
Shazam! #1",Feb-1973,N,Dennis O'Neil,writer,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Weerd
(James Stanton)",Stargirl 101,"Star-Spangled Comics #1
""Dr. Weerd & the Metal Monster""",Oct-1941,Y,"Jerome ""Jerry"" Siegel",writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harold Sherman,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores Watson,Doom Patrol 111,Doom Patrol #39,Dec-1990,N,Grant Morrison,writer,Continuity Writer,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard Case,pencils,Continuity Artist,,(Agreement is in warehouse box 699835717 & not scanned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark McKenna,inks,Continuity Artist,,(Agreement is in warehouse box 699835357 & not scanned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kim DeMulder,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Simon Bisley,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daniel Vozzo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominator Mothership/Flagship,Arrow 508,"First appearance of a warship:
Legion of Super-Heroes Annual #3",1987,N,Paul Levitz,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Greg LaRocque,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike DeCarlo,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arne Starr,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ken Steacy,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"First appearance of Flagship:
Invasion #1",1988,N,Keith Giffen,plot,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bill Mantlo,dialogue,WFH,,Mantlo is living but brain damaged. His affairs are handled by his brother.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Todd McFarlane,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Gordon,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Josef Rubinstein,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Philip Craig Russell,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Dominion
(Dominators)",Flash 308,Adventure Comics #361,Oct-1967,N,"James ""Jim"" Shooter",writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"James ""Jim""  Mooney",inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Klein,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Caine,Night Force,"New Teen Titans #21
""Night Force""",Jul-1982,N,Marv Wolfman,writer,Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eugene Colan,"pencils, cover pencils",Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Robert L. Smith,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michele Wolfman,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doodlebug
(Daedalus Boch)",Gotham 416,Arkham Asylum: Living Hell #1,Jul-2003,N,Dan Slott,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ryan Sook,"pencils, inks",WFH,,"Sook signed a WFH agreement for the cover of this issue; however, Powell clearly did the artwork. We do have WFH for Powell for issues #2-6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eric Powell,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Loughridge,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doom Patrol
(Silver Age)",,My Greatest Adventure #80,Jun-1963,Y,Arnold Drake,writer,None,2006,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Haney,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruno Premiani,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doom Patrol
(Modern Age)",,Doom Patrol #19,Feb-1989,Y,Grant Morrison,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard Case,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carlos Garzon,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michele Wolfman,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomsday,,Superman: The Man of Steel #18,Dec-1992,Y,Dan Jurgens,co-creator,Continuity,1993,"Doomsday was initially conceived at a meeting of a number of freelance artists and writers working on SUPERMAN in 1991 or 1992. DC recognized four of the attendees at this meeting Dan Jurgens, Jerry Ordway, Louise Simonson and Roger Stern as the co-creators of Doomsday. Jerry Ordway assigned half of his equity share to a fifth contributor, Brett Breeding, and DC recognized Breeding as a co-creator of Doomsday as well. DC has “continuity agreements” with all five of these contributors covering the time period of their creation of Doomsday. We also have character equity agreements with 4 of the 5 contributors as well as the assignment from Ordway to Breeding. Included in the COT are continuity agreements with other talent, John Bogdanove and Dennis Janke, because they contributed to the comic book issue(s) in which Doomsday first appeared. Doomsday first appeared unnamed in artwork on the last page of Superman: Man of Steel #17. Doomsday made his first appearance, by name, in Superman: The Man of Steel #18.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jerry Ordway,co-creator,Continuity,"1993
1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Roger Stern,co-creator,Continuity,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Louise Simonson,"writer, co-creator",Continuity,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brett Breeding,co-creator,Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jon Bogdanove,"pencils, cover pencils",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dennis Janke,"inks, cover inks",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Glenn Whitmore,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doris Chase,Arrow 513,New Teen Titans #29,Mar-1983,N,Marv Wolfman,writer,Exclusive; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"pencils, cover",Exclusive; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Romeo Tanghal,inks,Exclusive; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy Spinner,Doom Patrol 115,Doom Patrol #14,Nov-1988,N,Paul Kupperberg,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eric Larsen,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Sanders III,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Gordon,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michele Wolfman,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Double Down
(Jeremy Tell)",Flash 304,Flash: Iron Heights,2001,N,Geoff Johns,writer,Prestige Writer,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ethan Van Sciver,"pencils, cover pencils",Prestige Artist,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Prentis Rollins,"inks, cover inks",Prestige Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chris Chuckry,color,Color Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dove
(Donald ""Don"" Hall)",Birds of Prey,Showcase #75,Jun-1968,Y,Steve Skeates,writer,None,,"According to the GCD, Giordano and Infantino were both involved with the creation of Hawk & Dove. Infantino claimed to have come up with the original idea. Giordano claimed that Ditko wrote the rough plot and Skeates worked from that. Skeates claimed that Infantino came up with the title, but the rest of the creation was ""by committee.""
Giordano and Infantino were both employees of DC at this time and are both Deceased 
Ditko is Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Ditko,"plot, pencils, inks, cover",Creator Recognition,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,editor,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,editor,Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dove
(Dawn Marie Granger)",Birds of Prey,Hawk and Dove #1,Oct-1988,N,Karl Kesel,"writer, inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Barbara Randall Kesel,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rob Liefeld,"pencils, cover pencils",WFH,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Glenn Whitmore,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dove
(Wiley Wolverman)",Birds of Prey,Genesis #2,Oct-1997,N,John Byrne,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ron Wagner,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Rubinstein,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alan Davis,cover pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark Farmer,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Patricia Mulvihill,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Eleanor Poole,,Doom Patrol #19,Feb-1989,N,Grant Morrison,writer,WFH,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard Case,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carlos Garzon,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michele Wolfman,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Hugh Evans,"Suicide Squad
(2016)",The Brave and the Bold #25,Aug-1959,N,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ross Andru,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Esposito,"inks, cover inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Ito,Stargirl 104,"Action Comics #56
""The Man the Whole World Feared""",Jan-1943,N,Joseph Greene,writer,None,,Deceased  ,Cleared by Wayne Smith for Stargirl TV series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Baily,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
